source,title,department/ministry,location,employment_type,Duration,Closing Date,Salary,url
Alberta,2026 Summer Student Opportunities,Government of Alberta,"Various, Alberta",Full time - Temporary,2-4 Months,,Starting at $21.27/hour,https://jobpostings.alberta.ca/job/Various-2026-Summer-Student-Opportunities/599010717/
British Columbia,Customer Service Representative,Service BC,"Courtenay, BC",Full time,,,"$57,700 - $65,135.00",https://bcpublicservice.hua.hrsmart.com/hr/ats/Posting/view/122938
Government of Ontario,Court and Client Representative,Ministry of the Attorney General,"Brampton, ON",Full time - Temporary,6 months,,$29.53 - $34.75/hr,https://www.gojobs.gov.on.ca/Preview.aspx?Language=English&JobID=243492
Government of Ontario,Student Summer Jobs at Ontario Parks,"Ministry of the Environment, Conservation and Parks","Various, Ontario",Various,Summer,,$17.60 - $18.45/hr,https://www.gojobs.gov.on.ca/Preview.aspx?Language=English&JobID=239417
Government of Ontario,2026 Summer Law Student,Ministry of the Attorney General,"Toronto, Ontario",Various,4 Months,,"$1,078.44/week",https://www.gojobs.gov.on.ca/Preview.aspx?Language=English&JobID=243452
Defence Construction Canada,"Technical Specialist, Project Management",Defence Construction Canada,"Bagotville, Quebec",Full Time,,,"$79,067 - $102,788",https://phh.tbe.taleo.net/phh04/ats/careers/v2/viewRequisition?org=DEFENCECONSTRUCTIONCANADA&cws=47&rid=7607
Government of Nunavut,2026 Tuglirijavut Student Employment Program,All departments,"Kitikmeot Region, Kivalliq Region, Qikiqtaaluk, Iqaluit",Various,Various,,Varies,https://www.gov.nu.ca/en/jobs/new-2026-tuglirijavut-student-employment-program-iqaluit/604
House of Commons,Student Employment Program,Student,"Ottawa, ON",Full-time,,,,https://jobs.smartrecruiters.com/HouseOfCommonsCanadaChambreDesCommunesCanada/744000127508759
Senate of Canada,The Student Employment Program 2026,Human Resources,"Ottawa, ON",Student job,,,,https://sencanada.hiringplatform.ca/processes/ce5aaf44-7ea8-4e92-921a-0deb8d5f5d00?locale=en
Saskatchewan,Probation Officer Community Youth Worker,"Corrections, Policing and Public Safety","Moose Jaw, SK, Canada",,,2026-10-08,,https://careers.saskatchewan.ca/en/sites/CX_1/job/101160
Saskatchewan,Probation Officer Community Youth Worker,"Corrections, Policing and Public Safety","Creighton, SK, Canada",,,2026-10-06,,https://careers.saskatchewan.ca/en/sites/CX_1/job/101168
Alberta,Alberta Indigenous Intern Program,,,,,,,https://www.alberta.ca/alberta-indigenous-intern-program
House of Commons,Co-op Students - Various Positions,Student,"Ottawa, ON",Full-time,,,,https://jobs.smartrecruiters.com/HouseOfCommonsCanadaChambreDesCommunesCanada/744000101048091
Nova Scotia,Mechanic Apprentice (Truck and Transport) (Miller Lake) (2 Positions),Public Works,"Miller Lake, NS",,,08-Oct-26,,https://jobs.novascotia.ca/job/MILLER-LAKE-Mechanic-Apprentice-%28Truck-and-Transport%29-%28Miller-Lake%29-%282-Positions%29-NS-B2T-1J6/606369417/
Alberta,Find student opportunities and internships,,,,,,,https://www.alberta.ca/find-student-opportunities-and-internships
Alberta,Summer student opportunities,,,,,,,https://www.alberta.ca/summer-student-opportunities
Alberta,Summer law student programs,,,,,,,https://www.alberta.ca/summer-law-student-programs
Northwest Territories,Apprentice Automobile Technician/Mechanic,,Hay River,,,"Oct 9, 2026","$98,000 - $117,000",https://www.gov.nt.ca/careers/en/job/28346
House of Commons,System Support Specialist,Digital Services and Real Property,"Ottawa, ON (Hybrid)",Full-time,,,,https://jobs.smartrecruiters.com/HouseOfCommonsCanadaChambreDesCommunesCanada/744000151449339
House of Commons,Constituency Assistant - Events and Outreach,Liberal,"Toronto, ON",Full-time,,,,https://jobs.smartrecruiters.com/HouseOfCommonsCanadaChambreDesCommunesCanada/744000150444909
House of Commons,Digital Product Strategist,Digital Services and Real Property,"Ottawa, ON (Hybrid)",Full-time,,,,https://jobs.smartrecruiters.com/HouseOfCommonsCanadaChambreDesCommunesCanada/744000150418408
House of Commons,Constituency Assistant,Conservative,"Terrace, BC",Full-time,,,,https://jobs.smartrecruiters.com/HouseOfCommonsCanadaChambreDesCommunesCanada/744000147535619
Senate of Canada,Material Logistics Officer,Property and Services,"Gatineau, Québec","Determinate Appointment (Term, 6 months +)",,"Sunday, Ocotber 11, 2026","$63,085 - $79,825",https://sencanada.hiringplatform.ca/processes/070c045d-e337-4c6e-a5f8-0966b8862aef?locale=en
Senate of Canada,Social Media Coordinator,"Communications, Broadcasting and Publications","Ottawa, ON","Indeterminate Appointment (permanent, full-time)",,"Monday, October 12, 2026","$70,415 - $89,097",https://sencanada.hiringplatform.ca/processes/ffed0045-4732-4a98-8f0b-7c2e51cbdec5?locale=en
Nova Scotia,District Finance Manager (Eastern),Public Works,"Sydney River, NS",,,29-Jul-26,,https://jobs.novascotia.ca/job/SYDNEY-RIVER-District-Finance-Manager-%28Eastern%29-NS-B1S-1P4/604361617/
Nova Scotia,Paralegal (Legal Services Technician 3),Public Prosecution Service,"Halifax, NS",,,09-Oct-26,,https://jobs.novascotia.ca/job/HALIFAX-Paralegal-%28Legal-Services-Technician-3%29-NS-B3J-0E8/606475017/
Nova Scotia,Area Firearms Officer (Compliance Officer 3),Justice,"Halifax, NS",,,09-Oct-26,,https://jobs.novascotia.ca/job/HALIFAX-Area-Firearms-Officer-%28Compliance-Officer-3%29-NS-B3J-2L6/606487217/
Nova Scotia,Business Analyst/Change Coordinator (Computer Services Off 3),Cyber Security & Digital Solutions,"Halifax, NS",,,08-Oct-26,,https://jobs.novascotia.ca/job/HALIFAX-Business-AnalystChange-Coordinator-%28Computer-Services-Off-3%29-NS-B3J-2Y1/606437617/
Nova Scotia,Records Clerk (Clerk 2),Opportunities and Social Development,"Halifax, NS",,,08-Oct-26,,https://jobs.novascotia.ca/job/HALIFAX-Records-Clerk-%28Clerk-2%29-NS-B3J-1N9/606424817/
Nova Scotia,"Program Lead, Emergency Financial Assistance Programs",Emergency Management,"Dartmouth, NS",,,08-Oct-26,,https://jobs.novascotia.ca/job/DARTMOUTH-Program-Lead%2C-Emergency-Financial-Assistance-Programs-NS-B2Y-2N1/606440017/
Nova Scotia,Program Coordinator (Internship),Justice,"Halifax, NS",,,07-Oct-26,,https://jobs.novascotia.ca/job/HALIFAX-Program-Coordinator-%28Internship%29-NS-B3J-3N2/606401817/
Nova Scotia,Mechanic II (Automotive Repair Technician) (Year Round) (Miller Lake),Public Works,"Miller Lake, NS",,,08-Oct-26,,https://jobs.novascotia.ca/job/MILLER-LAKE-Mechanic-II-%28Automotive-Repair-Technician%29-%28Year-Round%29-%28Miller-Lake%29-NS-B2T-1J6/606369317/
Nova Scotia,Divisional Project Coordinator - Program Admin Officer 1-2,"Communities, Culture, Tourism & Heritage","Halifax, NS",,,07-Oct-26,,https://jobs.novascotia.ca/job/HALIFAX-Divisional-Project-Coordinator-Program-Admin-Officer-1-2-NS-B3J-3X8/606400117/
Nova Scotia,Equipment Operator Trainer (Year Round) (Yarmouth),Public Works,"Yarmouth, NS",,,08-Oct-26,,https://jobs.novascotia.ca/job/YARMOUTH-Equipment-Operator-Trainer-%28Year-Round%29-%28Yarmouth%29-NS-B5A-5H8/606383017/
Nova Scotia,Receptionist (Clerk 2),Opportunities and Social Development,"Middleton, NS",,,,,https://jobs.novascotia.ca/job/MIDDLETON-Receptionist-%28Clerk-2%29-NS-B0S-1P0/606377617/
Nova Scotia,Administrative Assistant (Secretary 1),Opportunities and Social Development,"Granville Ferry, NS",,,,,https://jobs.novascotia.ca/job/GRANVILLE-FERRY-Administrative-Assistant-%28Secretary-1%29-NS-B0S-1A0/606377417/
Nova Scotia,"Manager, SaaS Solutions",Cyber Security & Digital Solutions,"Halifax, NS",,,14-Oct-26,,https://jobs.novascotia.ca/job/HALIFAX-Manager%2C-SaaS-Solutions-NS-B3J-1M7/606392617/
Nova Scotia,Office Administrative Coordinator,Municipal Affairs,"Halifax, NS",,,07-Oct-26,,https://jobs.novascotia.ca/job/HALIFAX-Office-Administrative-Coordinator-NS-B3J-3K5/606381317/
Nova Scotia,Casual Relief Clerk 3 (Antigonish),Agriculture,"Antigonish, NS",,,07-Oct-26,,https://jobs.novascotia.ca/job/ANTIGONISH-Casual-Relief-Clerk-3-%28Antigonish%29-NS-B2G-0B4/606399417/
Nova Scotia,Manager HR Information Management,Public Service Commission,"Halifax, NS",,,07-Oct-26,,https://jobs.novascotia.ca/job/HALIFAX-Manager-HR-Information-Management-NS-B3J3N8/606400817/
Nova Scotia,"Program Manager, Wood Street Campus",Opportunities and Social Development,"Truro, NS",,,07-Oct-26,,https://jobs.novascotia.ca/job/TRURO-Program-Manager%2C-Wood-Street-Campus-NS-B2N-7H8/606382017/
New Brunswick,AI Integration and Automation Specialist,FTB,Remote in New Brunswick or Fredericton,,,,,https://www.ere.gnb.ca/competition.aspx?ID=16958
New Brunswick,Administrative Assistant,EECD,Moncton,,,"October 9, 2026",,https://www.ere.gnb.ca/competition.aspx?ID=26-2000-020
New Brunswick,Administrative Assistant,Health,Fredericton,,,"October 14, 2026",,https://www.ere.gnb.ca/competition.aspx?ID=35-26-225
New Brunswick,Correctional Officer I-II,Justice and Public Safety,Various Locations,,,,,https://www.ere.gnb.ca/competition.aspx?ID=21-78-200
New Brunswick,Customer Service Representative,SNB,Burton,,,"September 29, 2026",,https://www.ere.gnb.ca/competition.aspx?ID=17460
New Brunswick,Customer service representative,SNB,Woodstock,,,,,https://www.ere.gnb.ca/competition.aspx?ID=17036
New Brunswick,Disaster Recovery Engineer - ENG II,Justice and Public Safety,Fredericton,,,"September 29, 2026",,https://www.ere.gnb.ca/competition.aspx?ID=R78-2026-0776
New Brunswick,Elevator Inspector,Justice and Public Safety,Various Regions,,,"December 31, 2026",,https://www.ere.gnb.ca/competition.aspx?ID=R78-2022-23-0481
New Brunswick,"Engineer 4, Regional Construction Manager",Transportation and Infrastructure,Fredericton,,,"September 29, 2026",,https://www.ere.gnb.ca/competition.aspx?ID=17360
New Brunswick,Equipment Operator (Seasonal),Transportation and Infrastructure,Fredericton District,,,"October 5, 2026",,https://www.ere.gnb.ca/competition.aspx?ID=17345
New Brunswick,Geospatial Specialist,Health,Fredericton,,,"October 5, 2026",,https://www.ere.gnb.ca/competition.aspx?ID=35-26-210
Northwest Territories,"Support Assistant - Tłı̨chǫ Region Closes: Oct 7, 2026",,,,,,,https://www.gov.nt.ca/careers/en/job/28372
Saskatchewan,Equipment Operator,Highways,"Prince Albert, SK, Canada",,,2026-10-02,,https://careers.saskatchewan.ca/en/sites/CX_1/job/100666
Saskatchewan,Stores and Logistics Supervisor,SaskBuilds and Procurement,"Saskatoon, SK, Canada",,,2026-10-05,,https://careers.saskatchewan.ca/en/sites/CX_1/job/100892
Saskatchewan,Legal Counsel,Financial and Consumer Affairs Authority,"Regina, SK, Canada",,,2026-10-06,,https://careers.saskatchewan.ca/en/sites/CX_1/job/101149
Saskatchewan,Court Administrative Assistant,Justice and Attorney General,"Regina, SK, Canada",,,2026-10-06,,https://careers.saskatchewan.ca/en/sites/CX_1/job/101180
Saskatchewan,Trust Officer,Justice and Attorney General,"Regina, SK, Canada",,,2026-10-02,,https://careers.saskatchewan.ca/en/sites/CX_1/job/101195
Saskatchewan,"Assistant Supervisor, Child Protection",Social Services,"Regina, SK, Canada",,,2026-10-03,,https://careers.saskatchewan.ca/en/sites/CX_1/job/101222
Saskatchewan,"Supervisor, Child and Caregiver Support",Social Services,"Prince Albert, SK, Canada",,,2026-10-04,,https://careers.saskatchewan.ca/en/sites/CX_1/job/100112
Saskatchewan,"Manager, Out of Home Care",Social Services,"Prince Albert, SK, Canada",,,2026-10-01,,https://careers.saskatchewan.ca/en/sites/CX_1/job/100344
Saskatchewan,Procurement Specialist,SaskBuilds and Procurement,"Regina, SK, Canada",,,2026-10-02,,https://careers.saskatchewan.ca/en/sites/CX_1/job/101043
Saskatchewan,International Relations Officer,Trade and Export Development,"Regina, SK, Canada",,,2026-10-09,,https://careers.saskatchewan.ca/en/sites/CX_1/job/101049
Alberta,Articling Program,,,,,,,https://www.alberta.ca/articling-program
Alberta,Municipal Internship Program,,,,,,,https://www.alberta.ca/municipal-internship-program
Senate of Canada,"Advisor, Open-Source Intelligence Monitoring",Corporate Security,"Ottawa, ON","Indeterminate Appointment (permanent, full-time)",,"Monday, October 12, 2026","$86,650 - $109,635",https://sencanada.hiringplatform.ca/processes/e86cb014-224c-41bb-afa7-b2a976ccee4f?locale=en
